Date,Meal Calories,Workout Calories,Net Calories
11/03/25,7360,574,6786
11/05/25,6200,550,5650
11/07/25,8250,542,7708
11/09/25,9650,544,9106
11/12/25,9550,558,8992
11/14/25,7900,562,7338
11/16/25,6200,535,5665
11/18/25,8250,545,7705
11/21/25,9650,539,9111
11/24/25,9550,573,8977
12/01/25,7900,551,7349
12/03/25,6200,556,5644
12/05/25,8250,537,7713
12/08/25,9650,533,9117
12/10/25,9550,541,9009
12/13/25,7900,534,7366
12/16/25,6200,536,5664
12/19/25,8250,554,7696
12/22/25,9650,567,9083
12/29/25,9550,568,8982
